/opt/jdk-21/bin/java  -classpath /home/nhan/Desktop/Projects/YCSB-IVS/conf:/home/nhan/Desktop/Projects/YCSB-IVS/core/target/core-0.18.0-SNAPSHOT.jar:/home/nhan/Desktop/Projects/YCSB-IVS/core/target/dependency/HdrHistogram-2.1.4.jar:/home/nhan/Desktop/Projects/YCSB-IVS/core/target/dependency/htrace-core4-4.1.0-incubating.jar:/home/nhan/Desktop/Projects/YCSB-IVS/core/target/dependency/jackson-core-asl-1.9.4.jar:/home/nhan/Desktop/Projects/YCSB-IVS/core/target/dependency/jackson-mapper-asl-1.9.4.jar:/home/nhan/Desktop/Projects/YCSB-IVS/neo4j/target/neo4j-binding-0.18.0-SNAPSHOT.jar:/home/nhan/Desktop/Projects/YCSB-IVS/neo4j/target/dependency/HdrHistogram-2.1.4.jar:/home/nhan/Desktop/Projects/YCSB-IVS/neo4j/target/dependency/htrace-core4-4.1.0-incubating.jar:/home/nhan/Desktop/Projects/YCSB-IVS/neo4j/target/dependency/neo4j-java-driver-5.15.0.jar:/home/nhan/Desktop/Projects/YCSB-IVS/neo4j/target/dependency/netty-buffer-4.1.101.Final.jar:/home/nhan/Desktop/Projects/YCSB-IVS/neo4j/target/dependency/netty-codec-4.1.101.Final.jar:/home/nhan/Desktop/Projects/YCSB-IVS/neo4j/target/dependency/netty-common-4.1.101.Final.jar:/home/nhan/Desktop/Projects/YCSB-IVS/neo4j/target/dependency/netty-handler-4.1.101.Final.jar:/home/nhan/Desktop/Projects/YCSB-IVS/neo4j/target/dependency/netty-resolver-4.1.101.Final.jar:/home/nhan/Desktop/Projects/YCSB-IVS/neo4j/target/dependency/netty-tcnative-classes-2.0.61.Final.jar:/home/nhan/Desktop/Projects/YCSB-IVS/neo4j/target/dependency/netty-transport-4.1.101.Final.jar:/home/nhan/Desktop/Projects/YCSB-IVS/neo4j/target/dependency/netty-transport-native-unix-common-4.1.101.Final.jar:/home/nhan/Desktop/Projects/YCSB-IVS/neo4j/target/dependency/reactive-streams-1.0.4.jar:/home/nhan/Desktop/Projects/YCSB-IVS/neo4j/target/dependency/reactor-core-3.6.0.jar site.ycsb.Client -t -db com.yahoo.yscb.db.neo4j.Neo4jClient -s -P ../workloads/workloada-extend -p url=neo4j://localhost:7787 -p username=neo4j -p password=password
[OVERALL], RunTime(ms), 20071
[OVERALL], Throughput(ops/sec), 1245.5781973992327
[TOTAL_GCS_G1_Young_Generation], Count, 4
[TOTAL_GC_TIME_G1_Young_Generation], Time(ms), 11
[TOTAL_GC_TIME_%_G1_Young_Generation], Time(%), 0.05480544068556624
[TOTAL_GCS_G1_Concurrent_GC], Count, 0
[TOTAL_GC_TIME_G1_Concurrent_GC], Time(ms), 0
[TOTAL_GC_TIME_%_G1_Concurrent_GC], Time(%), 0.0
[TOTAL_GCS_G1_Old_Generation], Count, 0
[TOTAL_GC_TIME_G1_Old_Generation], Time(ms), 0
[TOTAL_GC_TIME_%_G1_Old_Generation], Time(%), 0.0
[TOTAL_GCs], Count, 4
[TOTAL_GC_TIME], Time(ms), 11
[TOTAL_GC_TIME_%], Time(%), 0.05480544068556624
[READ], Operations, 12535
[READ], AverageLatency(us), 490.8381332269645
[READ], MinLatency(us), 79
[READ], MaxLatency(us), 44095
[READ], 95thPercentileLatency(us), 1337
[READ], 99thPercentileLatency(us), 2353
[READ], Return=OK, 12535
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 212288.0
[CLEANUP], MinLatency(us), 212224
[CLEANUP], MaxLatency(us), 212351
[CLEANUP], 95thPercentileLatency(us), 212351
[CLEANUP], 99thPercentileLatency(us), 212351
[UPDATE], Operations, 12465
[UPDATE], AverageLatency(us), 1067.0190934616928
[UPDATE], MinLatency(us), 320
[UPDATE], MaxLatency(us), 172415
[UPDATE], 95thPercentileLatency(us), 2145
[UPDATE], 99thPercentileLatency(us), 3215
[UPDATE], Return=OK, 12465
