Key,Run1,Run2,Run3,Run11,Run12
"user1000385178204227360", 1000, 3500, 3700, 5100, 5600
"user1000385178204227360", 1000, 3500, 3700, 5100, 5600
"user1005413005517793606", 1000, 2900, 4000, 5100, 6200
"user1005413005517793606", 1000, 2900, 4000, 5100, 6200
"user1226902401449795803", 1000, 3300, 3400, 4700, 5600
"user1226902401449795803", 1000, 3300, 3400, 4700, 5600
"user1231930228763362049", 1000, 2400, 4300, 5300, 6000
"user1231930228763362049", 1000, 2400, 4300, 5300, 6000
"user1468038131265307737", 1000, 2900, 4300, 5500, 6400
"user1468038131265307737", 1000, 2900, 4300, 5500, 6400
"user1473065958578873983", 1000, 2800, 3700, 4600, 5900
"user1473065958578873983", 1000, 2800, 3700, 4600, 5900
"user1588605996173063704", 1000, 2200, 4000, 4500, 5600
"user1588605996173063704", 1000, 2200, 4000, 4500, 5600
"user1699583181824442426", 1000, 4400, 6100, 6200, 8000
"user1699583181824442426", 1000, 4400, 6100, 6200, 8000
"user171028630419879082", 1000, 2600, 3600, 4800, 5800
"user171028630419879082", 1000, 2600, 3600, 4800, 5800
"user176056457733445328", 1000, 3200, 4600, 5300, 6000
"user176056457733445328", 1000, 3200, 4600, 5300, 6000
"user1815123219418632147", 1000, 2700, 4300, 5200, 6300
"user1815123219418632147", 1000, 2700, 4300, 5200, 6300
"user1820151046732198393", 1000, 3400, 3700, 5500, 5700
"user1820151046732198393", 1000, 3400, 3700, 5500, 5700
"user2056258949234144081", 1000, 3100, 3700, 5000, 5800
"user2056258949234144081", 1000, 3100, 3700, 5000, 5800
"user2061286776547710327", 1000, 2600, 4200, 4800, 5800
"user2061286776547710327", 1000, 2600, 4200, 4800, 5800
"user2176826814141900048", 1000, 2300, 3600, 4900, 5700
"user2176826814141900048", 1000, 2300, 3600, 4900, 5700
"user2287803999793278770", 1000, 3000, 3800, 4700, 5800
"user2287803999793278770", 1000, 3000, 3800, 4700, 5800
"user2403344037387468491", 1000, 3000, 4300, 5200, 5800
"user2403344037387468491", 1000, 3000, 4300, 5200, 5800
"user2408371864701034737", 1000, 3200, 3700, 4600, 6000
"user2408371864701034737", 1000, 3200, 3700, 4600, 6000
"user2644479767202980425", 1000, 2600, 3600, 4900, 5600
"user2644479767202980425", 1000, 2600, 3600, 4900, 5600
"user2649507594516546671", 1000, 2700, 4100, 4600, 5700
"user2649507594516546671", 1000, 2700, 4100, 4600, 5700
"user2765047632110736392", 1000, 2700, 4400, 5500, 6000
